"","x","y","good"
"1",8.8,-3.3398788829869,1
"2",9.5,-3.53598792096496,1
"3",10.1,-3.68179792079685,1
"4",9.9,-3.5366772771002,1
"5",9.9,-3.5366772771002,1
"6",10.1,-3.68179792079685,1
"7",9.6,-3.60822462613196,1
"8",8.8,-3.3398788829869,1
"9",9.5,-3.53598792096496,1
"10",11,-3.8754483541133,1
"11",12,-3.89194881370173,0
"12",9.7,-3.73766011832849,0
"13",10.8,-3.91710255117144,0
"14",12.4,-3.66851353451627,1
"15",9.7,-3.68979987757368,0
"16",11.4,-4.00852274581253,1
"17",9.6,-3.59774749395541,1
"18",12.8,-3.67055067056199,1
"19",11.3,-4.00553506615131,1
"20",9.5,-3.58740523232299,0
"21",12.8,-3.67055067056199,1
"22",11,-3.95240704031117,1
"23",10.5,-3.76662633033759,1
"24",9.3,-3.19921745634283,0
"25",10,-3.63464827154921,1
"26",10.4,-3.79045431478469,1
"27",10,-3.63464827154921,1
"28",10.5,-3.73975310323155,1
"29",11.6,-3.80239254895667,1
"30",12.3,-3.80881046501832,1
"31",10,-3.73060318841266,1
"32",10.2,-3.80089125542674,1
"33",10.8,-3.78448034283667,1
"34",9,-3.41052323254354,1
"35",10.2,-3.77709731861702,0
"36",12.8,-3.14389204586909,0
"37",10,-3.64703518549395,0
"38",11.2,-3.75038241655859,1
"39",8.6,-3.17151399774695,0
"40",8.6,-3.17151399774695,0
"41",9.4,-2.10763613184197,1
"42",9.4,-2.09769974077946,1
"43",9.8,-3.37404872420607,1
"44",9.5,-3.44800435465585,1
"45",9.5,-3.41356352824972,1
"46",10,-3.55847510559958,1
"47",9.8,-3.45087848159702,0
"48",9.8,-3.41265298727313,0
"49",9.8,-3.37404872420607,1
"50",9.8,-3.39982254718034,0
"51",11.7,-3.5825637787664,1
"52",11,-3.53127654580484,1
"53",10.9,-3.69054540103322,1
"54",10.9,-3.85856518032832,1
"55",9.1,-2.33489089097596,1
"56",11,-3.93999537638418,1
"57",9.6,-3.62877522493317,1
"58",8.9,-3.35009986243731,1
"59",10.2,-3.77709731861702,1
"60",9.9,-3.76924775256418,1
"61",8.6,-2.83408900199942,1
"62",8.9,-3.35009986243731,1
"63",10.5,-3.93978396642188,0
"64",10.2,-3.77709731861702,1
"65",10.3,-3.86844908892101,1
"66",9.1,-3.25831107303247,0
"67",12.6,-3.64847994882969,1
"68",9.8,-3.70942880653994,0
"69",10.7,-3.83051958050631,1
"70",9.5,-3.52534437440504,0
"71",9,-3.30973371749564,1
"72",9.5,-3.40193879644218,0
"73",10,-3.49307934252991,0
"74",9.1,-3.36090239958857,1
"75",10.7,-3.83051958050631,1
"76",9.5,-3.52534437440504,0
"77",12.7,-3.58722529451584,1
"78",12,-3.79393589748791,1
"79",9.3,-3.31406725838981,0
"80",9,-3.27020420759064,0
"81",10.6,-3.72468264724691,1
"82",9.2,-3.43204841847927,1
"83",10,-3.49307934252991,0
"84",9.5,-3.55692836618003,1
"85",8.7,-3.30408201400847,0
"86",8.7,-3.31170313620967,1
"87",8.7,-3.31170313620967,1
"88",9.7,-3.58275523015555,1
"89",8.7,-3.30408201400847,0
"90",8.7,-3.31170313620967,1
"91",8.7,-3.31170313620967,1
"92",9,-3.37538447975709,0
"93",12.6,-3.69435776603307,1
"94",12.6,-3.70300780421373,1
"95",11.5,-3.90440211829678,1
"96",9.2,-3.48842219233622,1
"97",8.8,-3.33185775430197,1
"98",11.4,-3.98624696379519,1
"99",10.1,-3.82266639176826,0
"100",8.8,-3.33185775430197,1
"101",9.1,-3.30027570308118,0
"102",9.4,-3.45273508486247,0
"103",9.4,-3.49509056587909,0
"104",9,-3.28020816685115,0
"105",9.1,-3.30027570308118,0
"106",9.2,-3.42224834660766,1
"107",9.4,-3.45273508486247,0
"108",9.1,-3.4877688554234,1
"109",9.1,-3.4877688554234,1
"110",10.3,-3.70837620659459,0
"111",8.8,-2.98659938562716,1
"112",8.9,-3.31481192718783,0
"113",9.2,-3.37173862325978,0
"114",9.1,-3.40884763033356,0
"115",9.1,-3.40884763033356,0
"116",9.7,-3.40300150812003,0
"117",11.3,-3.90920155612892,1
"118",11.8,-3.91579260143602,1
"119",9.2,-3.37173862325978,0
"120",9.2,-3.32973290045385,0
"121",10.2,-3.75274242037898,0
"122",8.8,-3.2636920356604,0
"123",9.7,-3.47690984339806,0
"124",9.1,-3.32081929638782,1
"125",9.8,-3.07347669985617,1
"126",11,-4.08460304524824,1
"127",10.5,-3.96171018679724,0
"128",9.7,-3.70946002873268,1
"129",10.9,-3.87187157168352,1
"130",10.9,-3.84512763883405,1
"131",10.6,-4.09762995321363,0
"132",9.7,-3.70946002873268,1
"133",9,-3.46706764784531,0
"134",9.2,-3.56378396050692,0
"135",8.9,-3.45794950628404,0
"136",9.6,-3.69594521121982,0
"137",10.7,-4.05231821162985,1
"138",8.7,-3.30408201400847,0
"139",10.8,-3.97755312915221,1
"140",11.8,-3.97732032104411,1
"141",10.2,-3.76498685970059,0
"142",8.7,-3.30408201400847,0
"143",10.8,-3.92956066170886,1
"144",9.7,-3.72843924554776,1
"145",11.2,-3.96372132919744,1
"146",10.9,-3.92364022476834,1
"147",10.1,-3.75476139812895,1
"148",9,-3.29013311536065,0
"149",12,-3.88182000942946,1
"150",9.4,-3.45273508486247,1
"151",11.5,-3.86652329649279,1
"152",9.9,-3.57428668714253,1
"153",9.4,-3.45273508486247,1
"154",10.4,-3.76464446198309,0
"155",9.7,-3.59403127192317,1
"156",8.9,-3.17987968821238,1
"157",8.9,-3.17987968821238,1
"158",12.4,-3.75001844819711,1
"159",12.1,-3.83588118865357,1
"160",12.1,-3.83588118865357,1
"161",12.4,-3.75001844819711,1
"162",9.1,-3.35101532947558,0
"163",10.6,-3.77949157509931,0
"164",8.9,-3.17987968821238,1
"165",9.5,-3.52534437440504,0
"166",9.8,-3.5979801272284,0
"167",9.6,-3.57641361714399,1
"168",12.6,-3.70300780421373,1
"169",9.3,-3.41235691831006,0
"170",10,-3.83753687621339,0
"171",12.7,-3.33507284391412,1
"172",11,-3.86209460041179,1
"173",11.4,-3.95123313997071,0
"174",11.5,-3.92882619154887,1
"175",10.2,-3.68972106149943,0
"176",11.4,-3.91449271932907,1
"177",12.6,-3.60892162388854,0
"178",9.4,-3.45273508486247,0
"179",8.7,-3.17707031415859,0
"180",9.2,-3.44173926958259,1
"181",9.3,-3.48385586081823,1
"182",9.2,-3.40233540896966,0
"183",8.7,-3.28051586621526,0
"184",9.6,-3.55460500429147,1
"185",9.3,-3.53147644598754,0
"186",9.3,-3.53147644598754,0
"187",9.9,-3.74838886467634,1
"188",11,-3.95240704031117,0
"189",12.7,-3.66846493562999,1
"190",8.9,-3.35864627811291,0
"191",8.9,-3.31481192718783,1
"192",8.7,-3.28051586621526,0
"193",11.4,-3.84999153055646,1
"194",9.6,-3.49824532049547,0
"195",9.1,-1.82237745220352,0
"196",9.1,-1.84922707392139,1
"197",9.1,-1.84922707392139,0
"198",8.9,-3.31481192718783,0
"199",8.8,-3.29862274295846,0
"200",8.9,-3.31481192718783,0
"201",9.3,-3.47396278162324,0
"202",8.8,-3.29862274295846,0
"203",9.6,-3.55460500429147,0
"204",12,-3.88182000942946,1
"205",10.2,-3.6637802640248,0
"206",8.8,-3.36320311259174,0
"207",9.2,-3.47933461424032,0
"208",9.9,-3.64712485140792,0
"209",10.2,-3.82407318003011,0
"210",9.5,-3.54651739352849,1
"211",10.5,-3.97234628098726,0
"212",11.2,-3.95150506472936,1
"213",9.2,-3.47933461424032,0
"214",9.7,-3.57137016258873,1
"215",11.1,-4.04545916449229,1
"216",9.4,-3.5552451867812,0
"217",11,-3.97666933682148,0
"218",9.4,-3.5552451867812,0
"219",9.4,-3.5552451867812,0
"220",11,-3.97666933682148,0
"221",11,-3.97666933682148,0
"222",9.1,-3.19352489243253,1
"223",11.1,-4.04545916449229,1
"224",9.1,-3.46263626364844,1
"225",10.4,-3.79045431478469,1
"226",8.7,-3.29634184948703,0
"227",9.7,-3.6051935202864,1
"228",9.1,-3.47953168449064,1
"229",9.7,-3.6051935202864,1
"230",8.7,-3.29634184948703,0
"231",8.9,-3.21996835479507,0
"232",9.6,-3.64875496999751,1
"233",9.5,-3.6354029672929,1
"234",9,-3.29013311536065,1
"235",9,-3.29013311536065,1
"236",9,-3.29013311536065,1
"237",9,-3.29013311536065,1
"238",9.6,-3.61856882369723,1
"239",11.1,-3.96563621681355,1
"240",9.6,-3.66812415656919,1
"241",8.7,-3.26424808672612,0
"242",10.4,-3.96409298732428,0
"243",11.4,-4.06950647728651,1
"244",9.7,-3.61623713264449,1
"245",8.7,-3.31920234717331,0
"246",11.3,-3.94674848264417,1
"247",12.6,-3.73569157589974,1
"248",10.9,-4.02947960686998,1
"249",10.9,-4.04014050820859,1
"250",10,-3.80728891593423,0
"251",10,-3.62216502697775,0
"252",9.8,-3.30909831560594,0
"253",8.7,-3.31920234717331,0
"254",11.7,-3.99717549304187,0
"255",9.3,-3.42287276467114,1
"256",9.6,-3.65851838477795,1
"257",11,-3.98850366196743,1
"258",11,-3.98850366196743,1
"259",11.8,-3.94757060074583,1
"260",11.4,-3.95123313997071,0
"261",10.2,-3.7278760046602,1
"262",8.9,-3.39163284799143,0
"263",10.2,-3.86838998953312,0
"264",9.6,-3.60822462613196,1
"265",10.6,-3.92016889326827,1
"266",8.9,-3.39163284799143,0
"267",9.2,-3.40233540896966,1
"268",9.7,-3.65912595238097,0
"269",9.7,-3.64860667918715,1
"270",9.7,-3.63794872544539,1
"271",9.2,-3.40233540896966,1
"272",9.7,-3.64860667918715,0
"273",9.3,-3.45383994379691,0
"274",9,-3.29997599840618,0
"275",9.5,-3.56721635859785,0
"276",9.8,-3.65531553098391,1
"277",9.8,-3.67738438958367,1
"278",10.6,-3.87106457221607,0
"279",10.6,-3.84556283184789,0
"280",12.4,-3.75001844819711,1
"281",12.6,-3.70300780421373,1
"282",12.3,-3.75001876002418,1
"283",10.5,-3.79307120119607,0
"284",9.3,-3.42287276467114,0
"285",8.8,-3.25471675592493,0
"286",8.8,-3.24565028299596,0
"287",9.7,-3.5482916267887,1
"288",9,-3.29013311536065,1
"289",9,-3.29013311536065,1
"290",9,-3.29013311536065,1
"291",9,-3.29013311536065,1
"292",10.5,-3.86932236067682,1
"293",9.1,-3.23693817133188,0
"294",9.8,-3.70942880653994,1
"295",8.5,-3.0604203098684,0
"296",9.4,-3.53568905234896,1
"297",9.4,-3.5455326407263,0
"298",11.2,-3.9137824523475,1
"299",10,-3.70734196217116,1
"300",10.3,-3.80969144241935,1
"301",10.8,-3.59802424965919,1
"302",10.5,-3.75324021327433,1
"303",10.8,-3.59802424965919,1
"304",11.1,-3.72324663141779,1
"305",9.9,-3.54928960770586,1
"306",9.9,-3.54928960770586,1
"307",9.9,-3.5366772771002,0
"308",9.9,-3.5366772771002,1
"309",10.4,-3.91082479024143,1
"310",10.4,-3.89955245366132,1
"311",11.5,-3.9640665812064,1
"312",12.5,-3.75377205748678,1
"313",10,-3.75330380576909,1
"314",10,-3.79683248298749,1
"315",10,-3.77539640789632,0
"316",9.1,-2.49480019793334,1
"317",10.6,-3.99874813248211,1
"318",10.5,-3.982754065261,0
"319",11.5,-4.01855086883798,1
"320",10.1,-3.8006754479262,1
"321",10.3,-3.83368134371329,1
"322",10.5,-3.982754065261,0
"323",10.6,-3.99874813248211,1
"324",10.4,-3.96409298732428,1
"325",11.4,-3.83666794454626,0
"326",10.5,-3.65702997004508,0
"327",10,-3.77539640789632,1
"328",10,-3.78619958050826,1
"329",9.6,-3.6388389227731,1
"330",10.4,-3.91082479024143,0
"331",12.5,-3.77027752432089,1
"332",10.6,-3.9881734312017,0
"333",11.8,-3.9371934396571,1
"334",9.8,-3.74007125189806,0
"335",10.8,-4.02221469093481,0
"336",11.8,-3.9371934396571,1
"337",11.2,-3.97574521983473,1
"338",9.3,-3.51281353419085,1
"339",10.4,-3.77760957274868,0
"340",10.2,-3.71526594918021,1
"341",9,-3.41052323254354,1
"342",10,-3.69551558460132,1
"343",9.1,-3.45398543475034,1
"344",10,-3.62216502697775,0
"345",10,-3.63464827154921,1
"346",9.6,-3.55460500429147,1
"347",11.2,-4.03268995807845,1
"348",8.8,-3.24565028299596,1
"349",10,-3.63464827154921,1
"350",10,-3.60959045810199,0
"351",11.4,-3.86318357263116,1
"352",11.9,-3.86183331311874,1
"353",9.6,-3.3054830471757,1
"354",11.9,-3.86183331311874,1
"355",9.6,-3.5871422386876,1
"356",9,-3.23974812706264,1
"357",9,-3.23974812706264,1
"358",9.5,-3.52534437440504,1
"359",10.4,-3.73837786903373,1
"360",10.6,-3.89595282525065,1
"361",10.2,-3.74037012938332,1
"362",8.9,-3.28727735337574,0
"363",9.7,-3.58275523015555,1
"364",9,-3.23974812706264,1
"365",11.4,-3.95123313997071,1
"366",12.3,-3.85226602264672,1
"367",10.8,-3.21529213728752,1
"368",9.4,-3.46347433407524,1
"369",10.6,-3.77949157509931,1
"370",11.6,-3.84151632921086,0
"371",9.4,-3.46347433407524,1
"372",10.6,-3.77949157509931,1
"373",10,-3.68356623429855,0
"374",9.2,-3.45131713334145,1
"375",12.5,-3.79343883891095,1
"376",12.5,-3.79343883891095,1
"377",10.4,-3.89955245366132,1
"378",10,-3.71903973720883,1
"379",10,-3.67149944526401,1
"380",10.4,-3.89955245366132,1
"381",10,-3.71903973720883,1
"382",9,-3.40191748087137,1
"383",9.2,-3.42224834660766,1
"384",9.2,-3.45131713334145,1
"385",11.3,-4.06855795314222,1
"386",12.5,-3.79343883891095,1
"387",10.8,-4.07255457769583,1
"388",10.1,-3.8006754479262,0
"389",9.7,-3.61623713264449,1
"390",9.3,-3.62334632776016,1
"391",9.3,-3.62334632776016,1
"392",10.6,-3.99874813248211,0
"393",10.2,-3.91938762445065,1
"394",12.2,-3.93569147346696,1
"395",8.8,-3.3477788591725,0
"396",10,-3.77539640789632,0
"397",11.4,-4.01931601678316,0
"398",11.4,-3.95123313997071,1
"399",9.4,-3.51562608937202,0
"400",11.7,-3.96683814335541,1
"401",11.4,-3.95123313997071,1
"402",8.8,-3.3477788591725,0
"403",9.2,-3.23118414576272,0
"404",8.7,-3.29634184948703,0
"405",12.6,-3.69435776603307,1
"406",10,-3.77539640789632,0
"407",12.8,-3.65609290871567,1
"408",9.4,-3.50541528368497,0
"409",10.3,-3.79747328017964,1
"410",11.4,-4.01931601678316,0
"411",9,-3.46706764784531,1
"412",9.6,-3.65851838477795,1
"413",10.5,-3.92850922608515,0
"414",10.5,-3.92850922608515,0
"415",9,-3.46706764784531,1
"416",9.6,-3.65851838477795,1
"417",9.8,-3.70942880653994,1
"418",9,-3.39319014531577,0
"419",9.8,-3.70942880653994,1
"420",10.5,-3.75324021327433,1
"421",12.7,-3.70002129453278,1
"422",10.4,-3.80317233744382,1
"423",10.4,-3.80317233744382,1
"424",10.4,-3.80317233744382,1
"425",10.5,-3.79307120119607,1
"426",10.4,-3.80317233744382,1
"427",10.4,-3.80317233744382,1
"428",9.4,-3.46347433407524,0
"429",9.1,-3.38998145597249,0
"430",9.3,-3.40175057464518,0
"431",9.4,-3.46347433407524,0
"432",9.8,-3.63273163668048,0
"433",9.9,-3.69349341541475,1
"434",9.2,-2.77929772669829,0
"435",12.1,-3.9121778174109,1
"436",12.2,-3.89138579185548,1
"437",9.8,-3.69889574340898,0
"438",12.4,-3.75944141311796,1
"439",9.9,-3.69349341541475,1
"440",9.2,-3.32973290045385,0
"441",11.6,-4.0241524527752,1
"442",10.4,-3.94343417791528,1
"443",12.9,-3.65232310774844,1
"444",9.3,-3.48385586081823,1
"445",11,-4.03366825232975,1
"446",11.5,-3.92882619154887,0
"447",12.4,-3.5543860443763,0
"448",9.8,-3.63273163668048,1
"449",9.8,-3.63273163668048,1
"450",10.5,-3.726170910547,1
"451",9.1,-3.19352489243253,0
"452",10.1,-3.82266639176826,0
"453",10.6,-3.87106457221607,1
"454",10.5,-3.80611739835964,1
"455",10.5,-3.726170910547,1
"456",9.8,-3.63273163668048,1
"457",12.9,-3.67533311480812,1
"458",9.5,-3.45932772178712,0
"459",9.8,-3.57428654446587,1
"460",8.5,-3.12177729057799,0
"461",9.5,-3.45932772178712,0
"462",9.3,-3.49363138363428,0
"463",9.5,-3.55692836618003,0
"464",9.4,-3.5552451867812,1
"465",8.7,-3.28848551154654,0
"466",8.9,-3.02220872857897,0
"467",9.4,-3.60168803333316,1
"468",9.4,-3.5552451867812,1
"469",8.7,-3.28848551154654,0
"470",9.6,-3.5871422386876,0
"471",9.3,-3.56711131472707,1
"472",10,-3.81756264116023,0
"473",12.5,-3.82113163480285,1
"474",9.6,-3.71361180616058,1
"475",9.4,-3.67497654894495,1
"476",9.5,-3.71878439598823,0
"477",12.4,-3.8198128986157,1
"478",10.5,-3.91703692078697,1
"479",9.2,-3.18602872949177,1
"480",10.4,-3.85264581230786,1
"481",9.2,-3.49737747773394,0
"482",10.6,-3.8062834915992,1
"483",9.5,-3.58740523232299,0
"484",9.2,-3.49737747773394,0
"485",9.6,-0.770386520897705,0
"486",9.7,-3.79669168387924,1
"487",9.7,-3.81874898810548,1
"488",10.7,-3.9677251272351,1
"489",10.5,-3.81903749527271,1
"490",8.9,-3.35864627811291,1
"491",12.1,-3.84615333940718,1
"492",12.7,-3.6846270683358,1
"493",9.9,-3.75890265620922,1
"494",11.4,-4.104639614885,1
"495",10.7,-3.90784839790685,1
"496",12.5,-3.80775683835136,1
"497",8.6,-3.29674254200505,0
"498",12.5,-3.80071338086268,1
"499",10,-3.77539640789632,0
"500",8.6,-3.29674254200505,0
